-- flex Errors -------------------------------- 
-- gcc -ansi -DPRINT Errors -------------------------------- 
-- bison -t Errors -------------------------------- 
-- gcc -ansi -DYYDEBUG Errors -------------------------------- 
-- gcc -ansi -DDEBUG Errors -------------------------------- 
-- gcc -ansi Errors -------------------------------- 
-- Output -------------------------------- 
--26/11/2017----------------------------------------------------- 
Lexical Tokens for a.spl 
--19:18:31.60----------------------------------------------------- 
Sybol: (ID) -> ProgA
Token: (COLON) -> :
Token: (CODE) -> CODE
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (CHARACTER_CONSTANT) -> 'h'
Token: (COMMA) -> ,
Sybol: (CHARACTER_CONSTANT) -> 'e'
Token: (COMMA) -> ,
Sybol: (CHARACTER_CONSTANT) -> 'l'
Token: (COMMA) -> ,
Sybol: (CHARACTER_CONSTANT) -> 'l'
Token: (COMMA) -> ,
Sybol: (CHARACTER_CONSTANT) -> 'o'
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (ENDP) -> ENDP
Sybol: (ID) -> ProgA
Token: (FULL_STOP) -> .
--26/11/2017----------------------------------------------------- 
Lexical Tokens for b.spl 
--19:18:33.58----------------------------------------------------- 
Sybol: (ID) -> ProgB
Token: (COLON) -> :
Token: (DECLARATIONS) -> DECLARATIONS
Sybol: (ID) -> a
Token: (COMMA) -> ,
Sybol: (ID) -> b
Token: (OF) -> OF
Token: (TYPE) -> TYPE
Token: (INTEGER) -> INTEGER
Token: (SEMI_COLON) -> ;
Sybol: (ID) -> c
Token: (OF) -> OF
Token: (TYPE) -> TYPE
Token: (CHARACTER) -> CHARACTER
Token: (SEMI_COLON) -> ;
Sybol: (ID) -> d
Token: (COMMA) -> ,
Sybol: (ID) -> e
Token: (OF) -> OF
Token: (TYPE) -> TYPE
Token: (REAL) -> REAL
Token: (SEMI_COLON) -> ;
Token: (CODE) -> CODE
Token: (READ) -> READ
Token: (BRA) -> (
Sybol: (ID) -> a
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (READ) -> READ
Token: (BRA) -> (
Sybol: (ID) -> b
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (IF) -> IF
Sybol: (ID) -> a
Token: (GREATER_THAN) -> >
Sybol: (ID) -> b
Token: (THEN) -> THEN
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (CHARACTER_CONSTANT) -> 'A'
Token: (KET) -> )
Token: (ELSE) -> ELSE
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (CHARACTER_CONSTANT) -> 'B'
Token: (KET) -> )
Token: (END_IF) -> ENDIF
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (SEMI_COLON) -> ;
Token: (READ) -> READ
Token: (BRA) -> (
Sybol: (ID) -> d
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Sybol: (ID) -> d
Token: (MULTIPLY) -> *
Sybol: (REAL_CONSTANT) -> 2.3
Token: (ASSIGNMENT) -> ->
Sybol: (ID) -> e
Token: (SEMI_COLON) -> ;
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (ID) -> e
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (SEMI_COLON) -> ;
Token: (READ) -> READ
Token: (BRA) -> (
Sybol: (ID) -> c
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (ID) -> c
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (ENDP) -> ENDP
Sybol: (ID) -> ProgB
Token: (FULL_STOP) -> .
--26/11/2017----------------------------------------------------- 
Lexical Tokens for c.spl 
--19:18:34.43----------------------------------------------------- 
Sybol: (ID) -> Prog3
Token: (COLON) -> :
Token: (DECLARATIONS) -> DECLARATIONS
Sybol: (ID) -> a
Token: (OF) -> OF
Token: (TYPE) -> TYPE
Token: (INTEGER) -> INTEGER
Token: (SEMI_COLON) -> ;
Token: (CODE) -> CODE
Token: (FOR) -> FOR
Sybol: (ID) -> a
Token: (IS) -> IS
Sybol: (INTEGER_CONSTANT) -> 1
Token: (BY) -> BY
Sybol: (INTEGER_CONSTANT) -> 1
Token: (TO) -> TO
Sybol: (INTEGER_CONSTANT) -> 13
Token: (DO) -> DO
Token: (IF) -> IF
Token: (NOT) -> NOT
Sybol: (ID) -> a
Token: (EQUAL_TO) -> =
Sybol: (INTEGER_CONSTANT) -> 7
Token: (THEN) -> THEN
Token: (WRITE) -> WRITE
Token: (BRA) -> (
Sybol: (ID) -> a
Token: (KET) -> )
Token: (SEMI_COLON) -> ;
Token: (NEWLINE) -> NEWLINE
Token: (END_IF) -> ENDIF
Token: (END_FOR) -> ENDFOR
